,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
BASE_GLUCOSE_MEASURE__std,0.015036323,-0.14877908,-0.027919877,-0.12463196,-0.122371055,-0.0073921825,0.004996894,-0.1224552
BICARBONATE_MEASURE__std,-0.079638906,0.050107073,-0.012251035,0.060882844,0.14011027,0.021081476,-0.023514928,0.014513655
BLOOD_CULTURE__std,0.013324596,-0.021861412,-0.016961403,-0.009420711,-0.005620115,-0.011507402,-0.008241216,0.0089988625
BLOOD_PRESSURE_DIASTOLIC_MEASURE__std,0.031705998,-0.053894475,0.035660226,0.0020762698,-0.13955517,0.0019493705,0.106345475,-0.0067309258
BLOOD_PRESSURE_SYSTOLIC_MEASURE__std,-0.0073722047,0.008993262,0.019038226,-0.018070905,0.1657442,-0.012853945,0.0022353656,-0.0027555872
BMI_MEASURE__std,-0.011182103,-0.028719157,0.006307103,0.008210532,-0.014034091,-0.005013151,0.012853038,0.011968752
BODY_TEMPERATURE_MEASURE__std,-0.028770229,-0.11343691,0.050123326,-0.08898791,-0.32596427,0.1737657,-0.03812561,-0.09378105
BOLUS_DOSAGE__std,-0.036847986,0.068437606,0.011585378,-0.01767652,-0.060112573,0.008492131,0.012877795,0.0721709
CALCIUM-GLUCONATE_BITZUA__std,-0.057596486,0.017999893,-0.0139586665,-0.01510575,-0.20358352,-0.0053498577,-0.015824214,-0.004274392
CARDIO-VASCULAR_DISORDER_EVENT__std,-0.004066576,0.013606151,0.024872992,0.0064886305,0.008083435,-0.014516543,0.0030617856,-0.025537299
CARDIOVASCULAR_DISORDER_OBS__std,-0.0014812668,0.011384598,0.009523767,0.014067443,-0.015319201,0.01630913,0.00014160312,0.02114195
CHEST_XRAY__std,-0.0015735234,-0.012375519,-0.00039868974,0.0011630966,-0.01649249,-0.001803364,-0.018896015,0.021981541
CREATINE-KINASE_MEASURE__std,0.015541597,0.05491362,0.019391919,-0.13219827,0.30450478,-0.018014092,-0.04438217,-0.1677947
CREATININE_SERUM_MEASURE__std,-0.04800731,0.053026523,-0.01360757,0.022773912,0.0070658005,0.028413737,-0.006841646,0.05212169
DEXTROSE_BITZUA__std,0.0007040114,0.045164015,0.005004062,0.011296042,-0.10545058,0.03847426,-0.00043947983,-0.006654224
DIABETES_DIAGNOSIS__std,-0.013523694,0.008338853,0.005999858,-0.00018650292,0.015494388,0.023784963,0.023975428,-0.0074154143
DIALYSIS__std,0.0208281,-0.011408965,-0.0066654254,-0.008206557,0.005154239,-0.005618102,0.022772748,-0.020769432
E-GFR_MEASURE__std,0.051516455,-0.015903806,0.015825208,-0.18650171,0.02767493,0.017221272,-0.1066996,-0.3087327
EGFR_MEASURE__std,-0.004686461,0.088158354,0.0010786179,0.07387845,-0.029619941,0.1291586,0.010636269,0.051096797
