,CARDIO-VASCULAR_DISORDER_EVENT,DEATH_EVENT,HYPERGLYCEMIA_EVENT,HYPOGLYCEMIA_EVENT,INFECTION_EVENT,KIDNEY_COMPLICATION_EVENT,SEVERE_HYPERGLYCEMIA_EVENT,SEVERE_HYPOGLYCEMIA_EVENT
CALCIUM-GLUCONATE_BITZUA__std,-0.04954853,0.013006071,-0.012853116,-0.0010189937,-0.18658103,-0.013224394,-0.029240638,0.010530702
CARDIO-VASCULAR_DISORDER_EVENT__std,-0.0040851533,0.007972158,-0.009194317,-0.013084944,0.019437749,0.013728252,-0.016484542,0.022219596
CARDIOVASCULAR_DISORDER_OBS__std,-0.0014880353,0.015568517,0.020129312,-0.010665701,-0.003227373,0.02456205,-0.020391144,0.018315153
CHEST_XRAY__std,-0.0015807089,-0.011275873,-0.007176145,-0.007958972,0.0066132625,-0.008206141,-0.0049799904,0.0034757168
CREATINE-KINASE_MEASURE__std,0.015525275,0.05507569,0.009745289,-0.105245814,0.25213152,-0.019789383,-0.033084184,-0.11413003
CREATININE_SERUM_MEASURE__std,-0.04682237,0.048493132,-0.019640202,0.035009038,0.026548838,0.033523973,-0.003263585,0.049984843
DEXTROSE_BITZUA__std,-0.0039355466,0.045738216,0.0059117298,-0.004730551,-0.10245672,0.0371785,-0.0017053733,-0.0022465682
DIABETES_DIAGNOSIS__std,-0.0135855,-0.021961419,-0.018104967,-0.014654582,-0.0139686,-0.013371494,-0.010348073,-0.0017480155
DIALYSIS__std,0.020923102,-0.012399424,0.007549616,0.0148292035,0.01681941,0.0064382246,-0.0036097553,-0.009959509
E-GFR_MEASURE__std,0.04687045,-0.021021554,0.016903369,-0.13657743,0.03502509,0.025052458,-0.08827083,-0.26130787
EGFR_MEASURE__std,-0.00036859856,0.08609009,0.010069868,0.054552604,-0.0476115,0.12641771,0.01125423,0.03695425
GLUCOSE_MEASURE__std,-0.018650783,-0.24820206,-0.2648531,0.04602603,0.37181023,0.059769105,-0.32214218,0.054590438
HEART_RATE_MEASURE__std,-0.067753784,-0.1935443,0.029148772,0.008046909,-0.29468298,0.0458594,0.0065098694,0.0555197
HEMATOCRIT_MEASURE__std,-0.028964143,0.0053630946,-0.0044794646,0.038115725,-0.08997574,0.045421634,-0.031436387,-0.012353507
HEMOGLOBIN_MEASURE__std,0.047262013,-0.032620057,0.00031201885,-0.0725714,-0.008268521,-0.025178105,0.020316763,-0.053726636
HEPARIN_IV_BITZUA__std,-0.041365277,-0.067485474,0.0111956075,0.02546295,-0.23462576,0.009616773,0.036548514,-0.09273811
HYPERGLYCEMIA_EVENT__std,0.0037882398,-0.0124319745,0.0098148,-0.006358768,0.0071200724,-0.01590344,0.014817026,0.019154366
HYPERTONIC_SALINE_BITZUA__std,0.039925434,-0.0412094,-0.038179845,-0.0055129877,-0.14849815,0.05016668,-0.061270192,-0.06325903
HYPOGLYCEMIA_EVENT__std,-0.008662735,-0.006814957,0.015331613,0.013796922,0.0107679395,0.006137715,-0.013941917,0.008647746
INFECTION_EVENT__std,0.010452774,-0.0046656877,0.0076531027,0.0072675576,0.013949117,0.024623048,0.0037878961,0.01992431
INFECTION_WBC_MEASURE__std,-0.06169241,0.037691493,0.103930674,0.11734349,-0.104714125,0.039123304,0.02950155,0.034901254
KETONES_SERUM_MEASURE__std,0.01584908,0.09283604,0.08437299,-0.07225833,0.061668765,-0.042103495,0.00920922,-0.13692795
KETONES_URINE_MEASURE__std,-0.011942165,-0.053374797,-0.0949046,-0.114322506,-0.052977163,-0.010085148,-0.011822416,0.024793062
KIDNEY_COMPLICATION_EVENT__std,0.01784941,-0.012426643,0.023351243,0.011703023,0.00039604463,0.005594169,0.021910813,-0.021185374
KIDNEY_COMPLICATION_OBS__std,-0.012667464,-0.00058481883,-0.023642361,-0.005460616,-0.004620249,0.014336061,0.016161883,0.01568187
MEAL_Breakfast__std,0.015874892,0.017040394,0.015055384,-0.006283415,0.019788897,6.0649338e-05,0.00042079846,-0.02344762
MEAL_Dinner__std,-0.022794804,-0.024698608,-0.020182187,-0.022741806,-0.0025101996,0.017972492,-0.01947918,0.01856223
MEAL_Lunch__std,-0.0061338437,-0.01401865,0.024986718,0.008962815,-0.0064652557,0.015024794,-0.018413309,0.015761826
